brand,name,weight,price
JOURNEY TO...,"Chicken Tikka Samosa, 10.2 oz",10.2 oz,$3.99
BREAKFAST BEST,"Buttermilk & Vanilla Protein Waffle, 13.4 oz",13.4 oz,$3.95
FREMONT FISH MARKET,"Oven Crispy Popcorn Shrimp, 18 oz",18 oz,$6.49
FREMONT FISH MARKET,"Oven Crispy Popcorn Shrimp, 18 oz",18 oz,$6.59
SEASON'S CHOICE,"Frozen Strawberry Banana Blend, 48 oz",48 oz,$7.15
SPECIALLY SELECTED,"Creamy Jalapeno Crispy Stuffed Shrimp, 6.8 oz",6.8 oz,$5.99
SPECIALLY SELECTED,"Creamy Garlic & Spinach Crispy Stuffed Shrimp, 6.8 oz",6.8 oz,$5.99
SPECIALLY SELECTED,"Creamy Wonton Stuffed Crispy Shrimp, 9.6 oz",9.6 oz,$5.99
SEASON'S CHOICE,Potato Puffs,32 oz,$2.89
FREMONT FISH MARKET,"Large Raw, Peeled & Deveined Wild Gulf Shrimp, 12 oz",12 oz,$5.99
FUSIA ASIAN INSPIRATIONS,"California Roll, 15 counts",11.5 oz,$5.49
FUSIA ASIAN INSPIRATIONS,"Shrimp & Avocado Sushi Roll, 15 count",11.5 oz,$5.49
SUNDAE SHOPPE,"Sea Salt Caramel Low Fat Ice Cream, 48 fl oz",48 fl oz,$3.25
SUNDAE SHOPPE,"Vanilla Low Fat Ice Cream, 48 fl oz",48 fl oz,$3.25
YUMMY,"Alpha Shaped Chicken Breast Nuggets, 35 oz",35 oz,$8.99
SPECIALLY SELECTED,"Arrabbiata Spaghetti, 16 oz",16 oz,$3.69
SPECIALLY SELECTED,"Al Limone Spaghetti, 16 oz",16 oz,$3.69
SUNDAE SHOPPE,"Strawberry Frozen Fruit Bars, 4 count",12 fl oz,$2.99
SUNDAE SHOPPE,"Mango Frozen Fruit Bars, 4 count",12 fl oz,$2.99
SPECIALLY SELECTED,"Premium Cherry Mascarpone Strudel, 21.2 oz",21.2 oz,$2.65
SPECIALLY SELECTED,"Premium Apple Mascarpone Strudel, 21.2 oz",21.2 oz,$2.65
SPECIALLY SELECTED,"Strawberry Cheesecake Premium Ice Cream, 16 fl oz",16 fl oz,$3.29
SPECIALLY SELECTED,"Dulce De Leche Premium Ice Cream, 16 fl oz",16 fl oz,$3.29
MAMA COZZI'S PIZZA KITCHEN,"Pepperoni Rising Crust Pizza, 30.20 oz",30.2 oz,$4.95
MAMA COZZI'S PIZZA KITCHEN,"Cheese Rising Crust Pizza, 29.75 oz",29.75 oz,$4.95
FREMONT FISH MARKET,"Value Pack Tilapia, 32 oz",32 oz,$9.75
SUNDAE SHOPPE,"Cookies and Cream Mochi Ice Cream, 6 count",7.5 oz,$4.95
SUNDAE SHOPPE,"Mango Mochi Ice Cream, 6 count",7.5 oz,$4.95
SUNDAE SHOPPE,"Strawberry Mochi Ice Cream, 6 count",7.5 oz,$4.95
FREMONT FISH MARKET,"Wild Caught Beer Battered Fish Fillets, 10 count",18.2 oz,$5.99
KIRKWOOD,"Nashville Style Hot Dry Rub Chicken Wings, 22 oz",22 oz,$8.79
BUONA,"Buona Beef, 34 oz",34 oz,$12.09
APPETITOS,"Mac & Cheese Bites, 8 oz",8 oz,$2.99
CASA MAMITA,"Chicken and Cheese Taquitos, 20 oz",20 oz,$5.39
FREMONT FISH MARKET,"Oven Ready Lobster Cakes, 16 oz",16 oz,$4.99
